1294984471	20160321	201603	2016	2016.2219	CAN	CANADA	CAN																		0	060	060	06	2	6.0	10	1	10	-0.53667262969588	4	Quebec, Quebec, Canada	CA	CA10	12750	47.5	-72	-571850	0								4	Quebec, Quebec, Canada	CA	CA10	12750	47.5	-72	-571850	20260319000000	https://www.bbc.co.uk/news/articles/c8d5d54glreo
1294984472	20250319	202503	2025	2025.2164											JUD	FEDERAL COURT						JUD			1	015	015	01	1	0.0	2	1	2	-11.0859728506788	0								3	Anchorage, Alaska, United States	US	USAK	AK020	61.2181	-149.9	1398242	3	Anchorage, Alaska, United States	US	USAK	AK020	61.2181	-149.9	1398242	20260319000000	https://www.adn.com/alaska-news/crime-courts/2026/03/18/anchorage-doctor-and-husband-sentenced-in-125-million-health-care-fraud-scheme/
1294984473	20250319	202503	2025	2025.2164											JUD	FEDERAL COURT						JUD			1	173	173	17	4	-5.0	2	1	2	-11.0859728506788	0								2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Alaska, United States	US	USAK		61.385	-152.268	AK	20260319000000	https://www.adn.com/alaska-news/crime-courts/2026/03/18/anchorage-doctor-and-husband-sentenced-in-125-million-health-care-fraud-scheme/
1294984474	20250319	202503	2025	2025.2164	AUS	MELBOURNE	AUS								BUS	AIRLINE						BUS			1	057	057	05	1	8.0	32	4	32	3.41637183742447	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	20260319000000	https://www.ulladullatimes.com.au/story/9202562/melbourne-airport-crowned-best-in-region-at-skytrax-awards/
1294984475	20250319	202503	2025	2025.2164	BUS	AIRLINE						BUS			AUS	MELBOURNE	AUS								1	057	057	05	1	8.0	32	4	32	3.41637183742447	1	Mongolia	MG	MG		46	105	MG	1	Mongolia	MG	MG		46	105	MG	1	Mongolia	MG	MG		46	105	MG	20260319000000	https://www.ulladullatimes.com.au/story/9202562/melbourne-airport-crowned-best-in-region-at-skytrax-awards/
1294984476	20250319	202503	2025	2025.2164	GOV	ADMINISTRATION						GOV			RUS	RUSSIAN	RUS								0	061	061	06	2	6.4	2	1	2	-2.20417633410673	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20260319000000	https://www.ktsa.com/how-russia-is-benefitting-from-americas-war-of-choice-in-iran/
1294984477	20250319	202503	2025	2025.2164	GOV	ADMINISTRATION						GOV			RUS	RUSSIAN	RUS								0	061	061	06	2	6.4	8	1	8	-2.20417633410673	1	India	IN	IN		20	77	IN	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	1	India	IN	IN		20	77	IN	20260319000000	https://www.ktsa.com/how-russia-is-benefitting-from-americas-war-of-choice-in-iran/
1294984478	20250319	202503	2025	2025.2164	HLH	DOCTOR						HLH			JUD	FEDERAL COURT						JUD			1	015	015	01	1	0.0	2	1	2	-11.0859728506788	3	Anchorage, Alaska, United States	US	USAK	AK020	61.2181	-149.9	1398242	3	Anchorage, Alaska, United States	US	USAK	AK020	61.2181	-149.9	1398242	3	Anchorage, Alaska, United States	US	USAK	AK020	61.2181	-149.9	1398242	20260319000000	https://www.adn.com/alaska-news/crime-courts/2026/03/18/anchorage-doctor-and-husband-sentenced-in-125-million-health-care-fraud-scheme/
1294984479	20250319	202503	2025	2025.2164	HLH	DOCTOR						HLH			JUD	FEDERAL COURT						JUD			1	173	173	17	4	-5.0	2	1	2	-11.0859728506788	2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Alaska, United States	US	USAK		61.385	-152.268	AK	20260319000000	https://www.adn.com/alaska-news/crime-courts/2026/03/18/anchorage-doctor-and-husband-sentenced-in-125-million-health-care-fraud-scheme/
1294984480	20250319	202503	2025	2025.2164	LEG	SENATE						LEG													1	120	120	12	3	-4.0	3	1	3	-1.78571428571429	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	0								2	Alabama, United States	US	USAL		32.799	-86.8073	AL	20260319000000	https://www.wbrc.com/2026/03/18/alabama-house-passes-laken-riley-act/
